model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,gpu_brand,gpu_type,gpu_vram,gpu_series,cpu_brand,cpu_family,cpu_generation,cpu_series
Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,12,16,74,66990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 14s-dr3001TU Laptop,HP,Pentium Silver N6000,8,256,0,Windows,INTEL UHD,14.0,1366 x 768,4,4,51,30990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Asus VivoBook 14 X415JA-EK522WS Laptop,Asus,10th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,4,8,60,41990,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,75,80990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Acer Predator Helios 300 PH315-55 Gaming Laptop,Acer,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,76,158990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I9,12,OTHER
Acer Extensa 15 EX215-54 Laptop,Acer,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,33990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,3840 x 2400,14,20,88,198490,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Asus VivoBook 15 X515JA-EJ382WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,33575,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,15.6,1920 x 1080,6,12,68,48890,AMD,Dedicated,4,RX,AMD,RYZEN 5,5000,H
Infinix INBook X1 Neo Laptop,Infinix,Celeron N5100,4,128,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,0,47,22990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,10,16,76,95990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
Asus VivoBook 15 X515EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,46990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,43879,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
HP 14s-dy2507TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,55,35490,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP Pavilion 15s-fq5112TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,55,62490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus TUF Gaming F15,Asus,2022) FX507ZE-HN038W Gaming Laptop,16,512,0,Windows,4 GB NVIDIA RTX 3050-TI,15.6,1920 x 1080,14,20,79,94990,NVIDIA,Dedicated,4,RTX,OTHER,OTHER,0,OTHER
Asus ROG Strix G17 2022 G713IE-HX040W Gaming Laptop,Asus,AMD Ryzen 7 4800H,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,17.3,1920 x 1080,8,16,75,87990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,4000,H
Infinix INBook X1 Neo XL22 Laptop,Infinix,Celeron N5100,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,0,50,29990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop,Asus,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1080 x 1920,8,12,67,77990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Acer Nitro 5 AN515-56 Gaming Laptop,Acer,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,73,62990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Acer Aspire 5 A515-57G Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 2050,15.6,1920 x 1080,12,16,67,59999,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Slim 1 82R1004AIN Laptop,Lenovo,AMD Ryzen 5 3500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,61,40026,AMD,Integrated,0,OTHER,AMD,RYZEN 5,3000,U
Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,12,16,69,57990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Gaming 3 82K201ULIN Laptop,Lenovo,Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,75,71990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop,Asus,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,72,75990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming Laptop,Asus,Ryzen 5 5600H,16,512,0,Windows,AMD RADEON,14.0,2880 x 1800,6,12,72,59990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,H
HP Pavilion 15-eg2039TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,66,85990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
HP Pavilion 14-dv2041TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,62,71990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
MSI Gaming Crosshair 15 B12UEZ-677IN Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,84,111000,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,8,512,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,45,139990,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
HP Pavilion 14-dv2015TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,65,84990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Asus Vivobook 15 2022 X1502ZA-BQ502WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,63,56825,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,68102,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Dell G15-5520 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,14,20,75,108400,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,53,43490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
HP Pavilion 15-EC2048AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050TI,15.6,1920 x 1080,6,12,72,69028,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Dell Inspiron 3525 Laptop,Dell,Athlon Silver 3050U,8,256,0,Windows,AMD RADEON,15.6,1920 x 1080,2,2,48,33000,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Avita Satus Ultimus S111 Laptop,Avita,Celeron N4020,4,128,0,Windows,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,47,16990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,Asus,Pentium Silver N6000,4,0,128,Windows,INTEL UHD,13.3,1920 x 1080,4,4,51,29990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Asus VivoBook 15 X515EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,50,35990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo Ideapad 15ALC6 82KU017KIN Laptop,Lenovo,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,59,47799,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Pavilion 15-EC2146AX Gaming Laptop,HP,Ryzen 7 5800H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,72,73758,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,5000,H
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,48,37490,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
Apple MacBook Pro 14 inch MKGP3HN Laptop,Apple,M1 Pro 8-core CPU,16,512,0,Mac,14-CORE GPU,14.2,3024 x 1964,8,0,53,171594,OTHER,Integrated,0,OTHER,APPLE,M1,1,APPLE
HP Victus 16-e0162AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,16.1,1920 x 1080,6,12,65,61490,AMD,Dedicated,4,RX,AMD,RYZEN 5,5000,H
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX350,15.6,1920 x 1080,4,8,61,59306,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,11,OTHER
Dell Latitude 5420 Laptop,Dell,11th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,60,74500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
HP Pavilion 15-DK2100TX Gaming Laptop,HP,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,75,66990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Dell Inspiron 5518 Laptop,Dell,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,71,67990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Xiaomi Mi Notebook Pro 14 Laptop,Xiaomi,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2560 x 1600,4,8,62,58355,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
HP 15s-GR0012AU Laptop,HP,AMD Ryzen 3 3250U,8,256,1000,Windows,AMD RADEON VEGA 6,15.6,1920 x 1080,2,4,62,44990,AMD,Integrated,0,VEGA,AMD,RYZEN 3,3000,U
HP EliteBook 840 G6,HP,8LX79PA) Laptop,8,512,0,Windows,INTEGRATED UHD 620,14.0,1920 x 1080,4,8,57,90464,OTHER,Integrated,0,UHD,OTHER,OTHER,0,OTHER
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,41990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus VivoBook 15 X515EA-EJ701WS Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,54990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
HP 245 G8 Laptop,HP,AMD Athlon Silver 3050U,8,0,1000,Windows,AMD RADEON,14.0,1366 x 768,2,2,47,25999,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
HP 15s-eq2146AU Laptop,HP,Ryzen 3 5300U,8,256,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,59,40490,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Lenovo V15 82KBA01TIH Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,65,49490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Apple MacBook Pro M2 2022 Laptop,Apple,Apple M2,16,512,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,47,168900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Lenovo V15 82KDA01UIH Laptop,Lenovo,AMD Ryzen 3 5300U,8,512,0,DOS,AMD RADEON,15.6,1920 x 1080,4,8,56,32990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Lenovo Yoga 9i 83B1002GIN Laptop,Lenovo,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE INTEGRATED,14.0,3840 x 2400,12,16,78,174990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Honor MagicBook X14 Laptop,Honor,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,63,46990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Chuwi CoreBook X Laptop,Chuwi,12th Gen Core i3,16,512,0,Windows,INTEL HD,14.0,2160 x 1440,6,8,54,33990,INTEL,Integrated,0,OTHER,INTEL,CORE I3,12,OTHER
Dell Inspiron 15 3520 D560915WIN9S Laptop,Dell,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,59,46900,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Dell Inspiron 3520 D560866WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,60,63690,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo V15 82KDA00YIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,DOS,AMD RADEON,15.6,1920 x 1080,6,12,56,42137,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP 245 G8 3S7L2PA Laptop,HP,AMD Ryzen 3 3250U,4,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,4,53,24990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop,Acer,Pentium Silver N6005,4,256,0,Windows,INTEL INTEGRATED UHD,14.0,1366 x 768,4,4,50,37990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Asus VivoBook 15 X1500EA-EJ3379WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,51,42990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo V15 82KBA01KIH Laptop,Lenovo,11th Gen Core i5,8,512,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,60,52500,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
HP 255 G8 Business Laptop,HP,Athlon 3050U,8,0,1000,Windows,AMD RADEON,15.6,1366 x 768,2,2,47,27390,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Lenovo E41-55 82FJ00ALIH Laptop,Lenovo,Athlon 3150U,4,0,1000,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,48,18990,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Lenovo E41-55 82FJ00BLIH Laptop,Lenovo,Athlon 3050U,4,256,0,Windows,AMD RADEON AMD,14.0,1366 x 768,2,2,51,20990,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Dell Inspiron 5620 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX570,16.0,1920 x 1080,10,12,69,98450,NVIDIA,Dedicated,2,MX,INTEL,CORE I7,12,OTHER
Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,76,73990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus VivoBook 14 X415EA-EK522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED INTEL UHD,14.0,1920 x 1080,4,8,65,49490,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Dell Alienware M15 R7 Gaming Laptop,Dell,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,84,168990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Asus Vivobook 16X M1603QA-MB512WS Laptop,Asus,Ryzen 5-5600H,16,512,0,Windows,AMD RADEON VEGA 7,16.0,1200 x 1920,6,12,68,54990,AMD,Integrated,0,VEGA,AMD,RYZEN 5,5000,H
Acer Extensa EX215-31 Laptop,Acer,Pentium N5030,8,256,0,Windows,INTEL INTEGRATED UHD 605,15.6,1366 x 768,4,0,50,24990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,56990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus VivoBook 15 X1500EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,56,46890,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Lenovo IdeaPad 3 82KU017KIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,57,45278,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Dell G15-5521 D560897WIN9S Gaming Laptop,Dell,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA RTX 3070 TI,15.6,2560 x 1440,14,20,71,138990,NVIDIA,Dedicated,8,RTX,INTEL,CORE I9,12,OTHER
Dell Inspiron 5420 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS,14.0,1920 x 1200,10,12,57,79490,INTEL,Integrated,0,OTHER,INTEL,CORE I7,12,OTHER
Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,61,67499,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Microsoft Surface Laptop 5 13.5 inch,Microsoft,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,13.5,2256 x 1504,10,12,50,98990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,45,34990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,59,57990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,49,47990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Honor MagicBook 14 M-WFQ9AHNE Laptop,Honor,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,59,44990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Victus 15-fa0092TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,69,81990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
HP ProBook 440 G8 Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1366 x 768,4,8,56,51990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Lenovo Legion 5 82RB00K8IN Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1600,14,20,86,141990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Dell Inspiron 3520 D560879WIN9S Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,65990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Omen 16-n0091AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050TI,16.1,1920 x 1080,8,16,69,115903,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,6000,H
MSI Modern 15 B12M-202IN Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,61,55490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Legion 5 Pro 16IAH7H 82RF00DYIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,2560 x 1600,14,20,84,164990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming Laptop,Asus,AMD Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,98500,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Lenovo V15 82C3001VSP Laptop,Lenovo,Celeron N4020,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,51,21999,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,13.3,2560 x 1600,12,16,66,76490,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming Laptop,Asus,AMD Ryzen 7 5800H,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,89990,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,5000,H
Lenovo E41-55 AMD Laptop,Lenovo,Athlon Pro 3045B,8,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,2,44,22999,AMD,Integrated,0,OTHER,AMD,ATHLON,0,OTHER
Asus VivoBook 14 2022 X1402ZA-EK391WS Laptop,Asus,12th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,60,38990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
Lenovo IdeaPad 3 82KU00LQIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,55,46990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo V15 G2-ITL Business Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,56,48999,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Lenovo IdeaPad Gaming 3 82K1019BIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,4,8,71,68989,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
MSI Gaming Katana GF76 11SC-847IN Laptop,MSI,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,72,55990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
MSI Katana GF66 12UD-640IN Gaming Laptop,MSI,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,12,76,77990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
MSI Thin GF63 12HW-004IN Gaming Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED ARC,15.6,1920 x 1080,12,16,60,54990,INTEL,Dedicated,0,ARC,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Gaming 3 82SA00B2IN Laptop,Lenovo,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,16.0,1920 x 1200,14,20,79,105990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Lenovo IdeaPad Slim 5 82LN00JSIN Laptop,Lenovo,Ryzen 7 5700U,16,512,0,Windows,AMD RADEON,15.6,1920 x 1080,8,16,68,64990,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
MSI Pulse GL66 12UEK-898IN Gaming Laptop,MSI,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,75,135000,NVIDIA,Dedicated,6,RTX,INTEL,CORE I9,12,OTHER
Chuwi HeroBook Air Laptop,Chuwi,Intel Celeron N4020,4,128,0,Windows,INTEL HD,14.1,1366 x 768,2,2,42,15990,INTEL,Integrated,0,OTHER,INTEL,CELERON,0,OTHER
MSI Vector GP66 12UEO-646IN Gaming Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,85,134000,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Lenovo IdeaPad Slim 3 81X800LCIN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,49,33990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
MSI Modern 14 B5M-242IN Laptop,MSI,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON RADEON,14.0,1920 x 1080,6,12,59,44290,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
