model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price
Dell Inspiron 5518 Laptop,Dell,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,71,67990
Xiaomi Mi Notebook Pro 14 Laptop,Xiaomi,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2560 x 1600,4,8,62,58355
HP 15s-GR0012AU Laptop,HP,AMD Ryzen 3 3250U,8,256,1000,Windows,AMD RADEON VEGA 6,15.6,1920 x 1080,2,4,62,44990
HP EliteBook 840 G6,HP,8LX79PA) Laptop,8,512,0,Windows,INTEGRATED UHD 620,14.0,1920 x 1080,4,8,57,90464
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,41990
Asus VivoBook 15 X515EA-EJ701WS Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,54990
HP 245 G8 Laptop,HP,AMD Athlon Silver 3050U,8,0,1000,Windows,AMD RADEON,14.0,1366 x 768,2,2,47,25999
HP 15s-eq2146AU Laptop,HP,Ryzen 3 5300U,8,256,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,59,40490
Lenovo V15 82KBA01TIH Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,65,49490
Apple MacBook Pro M2 2022 Laptop,Apple,Apple M2,16,512,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,47,168900
Lenovo V15 82KDA01UIH Laptop,Lenovo,AMD Ryzen 3 5300U,8,512,0,DOS,AMD RADEON,15.6,1920 x 1080,4,8,56,32990
Lenovo Yoga 9i 83B1002GIN Laptop,Lenovo,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE INTEGRATED,14.0,3840 x 2400,12,16,78,174990
Honor MagicBook X14 Laptop,Honor,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,63,46990
Chuwi CoreBook X Laptop,Chuwi,12th Gen Core i3,16,512,0,Windows,INTEL HD,14.0,2160 x 1440,6,8,54,33990
Dell Inspiron 15 3520 D560915WIN9S Laptop,Dell,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,59,46900
Dell Inspiron 3520 D560866WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,60,63690
Lenovo V15 82KDA00YIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,DOS,AMD RADEON,15.6,1920 x 1080,6,12,56,42137
HP 245 G8 3S7L2PA Laptop,HP,AMD Ryzen 3 3250U,4,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,4,53,24990
Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop,Acer,Pentium Silver N6005,4,256,0,Windows,INTEL INTEGRATED UHD,14.0,1366 x 768,4,4,50,37990
Asus VivoBook 15 X1500EA-EJ3379WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,51,42990
Lenovo V15 82KBA01KIH Laptop,Lenovo,11th Gen Core i5,8,512,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,60,52500
HP 255 G8 Business Laptop,HP,Athlon 3050U,8,0,1000,Windows,AMD RADEON,15.6,1366 x 768,2,2,47,27390
Lenovo E41-55 82FJ00ALIH Laptop,Lenovo,Athlon 3150U,4,0,1000,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,48,18990
Lenovo E41-55 82FJ00BLIH Laptop,Lenovo,Athlon 3050U,4,256,0,Windows,AMD RADEON AMD,14.0,1366 x 768,2,2,51,20990
Dell Inspiron 5620 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX570,16.0,1920 x 1080,10,12,69,98450
Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,76,73990
Asus VivoBook 14 X415EA-EK522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED INTEL UHD,14.0,1920 x 1080,4,8,65,49490
Dell Alienware M15 R7 Gaming Laptop,Dell,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,84,168990
Asus Vivobook 16X M1603QA-MB512WS Laptop,Asus,Ryzen 5-5600H,16,512,0,Windows,AMD RADEON VEGA 7,16.0,1200 x 1920,6,12,68,54990
Acer Extensa EX215-31 Laptop,Acer,Pentium N5030,8,256,0,Windows,INTEL INTEGRATED UHD 605,15.6,1366 x 768,4,0,50,24990
Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,56990
Asus VivoBook 15 X1500EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,56,46890
Lenovo IdeaPad 3 82KU017KIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,57,45278
Dell G15-5521 D560897WIN9S Gaming Laptop,Dell,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA RTX 3070 TI,15.6,2560 x 1440,14,20,71,138990
Dell Inspiron 5420 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS,14.0,1920 x 1200,10,12,57,79490
Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,61,67499
Microsoft Surface Laptop 5 13.5 inch,Microsoft,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,13.5,2256 x 1504,10,12,50,98990
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,45,34990
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,59,57990
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,49,47990
Honor MagicBook 14 M-WFQ9AHNE Laptop,Honor,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,59,44990
HP Victus 15-fa0092TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,69,81990
HP ProBook 440 G8 Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1366 x 768,4,8,56,51990
Lenovo Legion 5 82RB00K8IN Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1600,14,20,86,141990
Dell Inspiron 3520 D560879WIN9S Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,65990
HP Omen 16-n0091AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050TI,16.1,1920 x 1080,8,16,69,115903
MSI Modern 15 B12M-202IN Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,61,55490
Lenovo Legion 5 Pro 16IAH7H 82RF00DYIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,2560 x 1600,14,20,84,164990
Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming Laptop,Asus,AMD Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,98500
Lenovo V15 82C3001VSP Laptop,Lenovo,Celeron N4020,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,51,21999
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,13.3,2560 x 1600,12,16,66,76490
Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming Laptop,Asus,AMD Ryzen 7 5800H,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,89990
Lenovo E41-55 AMD Laptop,Lenovo,Athlon Pro 3045B,8,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,2,44,22999
Asus VivoBook 14 2022 X1402ZA-EK391WS Laptop,Asus,12th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,60,38990
Lenovo IdeaPad 3 82KU00LQIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,55,46990
Lenovo V15 G2-ITL Business Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,56,48999
Lenovo IdeaPad Gaming 3 82K1019BIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,4,8,71,68989
MSI Gaming Katana GF76 11SC-847IN Laptop,MSI,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,72,55990
MSI Katana GF66 12UD-640IN Gaming Laptop,MSI,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,12,76,77990
MSI Thin GF63 12HW-004IN Gaming Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED ARC,15.6,1920 x 1080,12,16,60,54990
Lenovo IdeaPad Gaming 3 82SA00B2IN Laptop,Lenovo,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,16.0,1920 x 1200,14,20,79,105990
Lenovo IdeaPad Slim 5 82LN00JSIN Laptop,Lenovo,Ryzen 7 5700U,16,512,0,Windows,AMD RADEON,15.6,1920 x 1080,8,16,68,64990
MSI Pulse GL66 12UEK-898IN Gaming Laptop,MSI,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,75,135000
Chuwi HeroBook Air Laptop,Chuwi,Intel Celeron N4020,4,128,0,Windows,INTEL HD,14.1,1366 x 768,2,2,42,15990
MSI Vector GP66 12UEO-646IN Gaming Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,85,134000
Lenovo IdeaPad Slim 3 81X800LCIN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,49,33990
MSI Modern 14 B5M-242IN Laptop,MSI,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON RADEON,14.0,1920 x 1080,6,12,59,44290
HP Envy x360 13-bf0059TU Laptop,HP,12th Gen Core i7,16,512,0,Windows,INTEL IRIS X,13.3,2880 x 1800,10,12,68,102123
Asus ZenBook Pro Duo 14 OLED 2022 UX8402ZE-M711WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,14.5,2880 x 1800,14,20,81,159990
Dell Vostro 3425 D552305WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,256,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,59,38663
Lenovo Ideapad Slim 3 82H802KVIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,59,55490
Dell Vostro 3425 D552309WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,61,38990
Acer Extensa EX215-54 NX.EGJSI.00N Laptop,Acer,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,59,40990
HP Pavilion 15s-FR5007TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,59490
Lenovo Ideapad Slim 3i 81WQ00NXIN Laptop,Lenovo,Intel Celeron N4020,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,2,2,49,28980
Asus Vivobook 15 2022 X1502ZA-EJ302WS Laptop,Asus,12th Gen Core i3,8,256,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,51,40990
HP 15s-ey1508AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON RADEON,15.6,1366 x 768,2,4,55,29990
MSI Thin GF63 11UC-866IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,69,65590
Asus Vivobook Pro 15 OLED M6500IH-L1701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,68,64990
Lenovo IdeaPad Slim 3 82KU017EIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,65,48990
Lenovo Ideapad Gaming 3 82K201UKIN Laptop,Lenovo,Ryzen 7 5800H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,67,77850
Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,50,37990
Dell Latitude 5320 Business Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL UHD,13.3,1920 x 1080,4,8,62,102400
MSI Thin GF63 11UC-867IN Gaming Laptop,MSI,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,67,56990
HP 15s-fr2514TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,44,38499
Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,12,16,65,85990
Acer Aspire 3 A315-23 UN.HVTSI.013 Laptop,Acer,Ryzen 3 3250U,8,256,0,Windows,AMD RADEON AMD,15.6,1920 x 1200,2,4,54,26990
HP 15s-dr3506TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,61,43990
HP 14s-fq0568AU Laptop,HP,AMD Athlon 3050U,8,256,0,Windows,AMD RADEON AMD,14.0,1366 x 768,2,2,50,25758
HP 15s-du3614TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,61,40390
HP 15s-eq1560AU Laptop,HP,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,2,4,61,37990
Dell Inspiron 3525 Laptop,Dell,AMD Ryzen3 5425U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,4,8,63,40663
Lenovo IdeaPad Gaming 3 82K10198IN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,68,54451
Acer Predator Helios 500 Ph517-52 Gaming Laptop,Acer,11th Gen Core i9,64,2000,1000,Windows,16 GB NVIDIA RTX 3080,17.3,3840 x 2160,8,16,97,432159
Lenovo Ideapad Gaming 3 82K201UNIN Laptop,Lenovo,Ryzen 7 5800H,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,90700
Lenovo IdeaPad Slim 3 82H701DNIN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,2,4,48,37700
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,8,512,0,Windows,AMD RADEON,16.0,1920 x 1200,6,12,71,57990
HP Pavilion 14-eh0024TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,14,20,74,91990
Dell XPS 13 Plus 9320 Laptop,Dell,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,13.4,3840 x 2400,12,16,71,178500
Asus ZenBook Pro Duo 15 OLED 2022 UX582ZM-H701WS Laptop,Asus,12th Gen Core i7,32,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,3840 x 2160,14,20,91,199990
Dell Alienware x14 Gaming Laptop,Dell,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,14,20,76,169990
HP Victus 15-fa0354TX Laptop,HP,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,10,16,63,94699
HP 15s-fq2671TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,41500
MSI Katana GF66 11UE-861IN Gaming Laptop,MSI,11th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,74,85990
Lenovo Yoga Slim 7 Pro 82NC00EWIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,4,8,62,71990
HP 15s- fr2512TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,47,41890
Lenovo IdeaPad Slim 3 82RK006DIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,50,43999
HP Victus 16-e0650AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,8,16,74,71990
Lenovo V15 82KBA03TIH Laptop,Lenovo,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,37000
Lenovo IdeaPad Gaming 3 82K101B7IN Laptop,Lenovo,11th Gen Core i5,16,256,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,4,8,72,77750
Dell Inspiron 7420 D560780WIN9S Laptop,Dell,12th Gen Core i3,8,256,0,Windows,MISSING,14.0,1920 x 1200,6,8,65,53906
Dell Inspiron 7420 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1200,10,12,54,74990
Dell Inspiron 7620 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,16.0,1920 x 1200,10,12,61,94500
Dell Inspiron 7420 2-in-1 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX550,14.0,1920 x 1200,10,12,63,102990
Asus ROG Strix G15 G513IE-HN040WS Gaming Laptop,Asus,Ryzen 7 4800H,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,75,85990
Infinix INBook X1 Slim XL21 Laptop,Infinix,10th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,51,46990
HP 255 G8 62Y23PA Laptop,HP,Ryzen 3 3250U,8,512,0,Windows,AMD RADEON VEGA 8,15.6,1920 x 1080,2,4,56,32083
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop,Asus,Ryzen 7-5800H,16,512,0,Windows,AMD RADEON VEGA 7,16.0,1920 x 1200,8,16,72,66990
HP Pavilion 15-eg2036TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,63,69990
Asus TUF Gaming F17 FX707ZM-HX030WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,17.3,1920 x 1080,14,20,76,109990
Asus Vivobook Pro 14 OLED M3400QA-KM702WS Gaming Laptop,Asus,Ryzen 7 5800H,16,512,0,Windows,AMD RADEON,14.0,2880 x 1800,8,16,71,64990
Infinix INBook X1 Slim Series XL21 Laptop,Infinix,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,47,33490
Asus TUF Gaming A15 FA506ICB-HN005W Laptop,Asus,Ryzen 7 4800H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,68,69990
Asus TUF Gaming F15 FX577ZM-HQ067WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,81,122990
Acer Aspire Vero AV15-51-5155 Laptop,Acer,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,66,54990
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,512,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,45,137990
Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,72,55990
Asus Vivobook S15 OLED S3502ZA-L502WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,65,72000
HP Pavilion 14-dv2053TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,60,62278
HP Pavilion 15s-fq5010TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,62,63350
Lenovo Ideapad Slim 3 81WB01EBIN Laptop,Lenovo,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,60,36490
HP Pavilion 15s-FQ5009TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,60500
Samsung Galaxy Book2 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,4 GB INTEL ARC A350M,15.6,1920 x 1080,12,16,63,79990
Asus Strix G15 G513RM-HQ271WS Gaming Laptop,Asus,Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,8,16,82,124990
Dell Inspiron 5520 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,73,79990
Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,63,70990
HP Pavilion 15-EG2019TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,60,78200
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,79990
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,60,64490
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,67,65990
Lenovo IdeaPad 3 81WQ00MQIN Laptop,Lenovo,Celeron N4020,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,2,2,51,26585
Dell G15-5520 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,67,84990
HP Pavilion 15-EG2035TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL UHD,15.6,1920 x 1080,8,12,67,71999
Acer Nitro 5 AN515-58 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,69,76109
Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop,Asus,Ryzen 9 5900HX,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,98900
Lenovo V15-IGL 82C3A008IH Laptop,Lenovo,Celeron N4020,4,256,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,43,19990
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,256,1000,Windows,INTEL UHD,14.0,1366 x 768,4,8,65,76900
Dell Inspiron 3521 Laptop,Dell,Pentium N5030,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,4,0,49,32033
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,16,512,0,Windows,AMD VEGA,16.0,1920 x 1200,6,12,72,62490
HP 240 G8 Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,4,8,51,60618
HP Pavilion 15-eh2018AU Laptop,HP,Ryzen 5 5625U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,52490
HP Pavilion 14-ec1003AU Laptop,HP,Ryzen 5,8,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,60,51990
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1080 x 1920,8,16,73,113990
Dell Vostro 3510 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,60,54490
Asus Vivobook 15 X515MA-BR101W Laptop,Asus,Pentium Quad Core,4,0,1000,Windows,INTEL UHD,15.6,1366 x 768,4,0,48,23399
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,13.3,1080 x 1920,12,16,72,110990
Asus Vivobook 13 Slate OLED T3300KA-LQ111WS Laptop,Asus,Pentium Silver N6000,8,256,0,Windows,INTEL UHD,13.3,1920 x 1080,4,4,54,43290
Apple MacBook Air 2020 Z124J002KD Laptop,Apple,Apple M1,16,512,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,53,125990
HP 14s-fq1089au Laptop,HP,Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,14.0,1920 x 1080,4,8,51,40300
HP 15s- fq4021TU Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,54,55499
Apple MacBook Air 2020 Z124J001KD Laptop,Apple,Apple M1,16,256,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,43,105990
HP 15s-eq2143au Laptop,HP,Ryzen 3 5300U,8,512,0,Windows,AMD RADEON AMD,15.6,1920 x 1080,4,8,56,39648
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,256,1000,Windows,2 GBNVIDIA MX350,15.6,1920 x 1080,4,8,65,62812
Lenovo IdeaPad 3 82H801L7IN,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,53,37952
Dell Latitude 7410 Laptop,Dell,10th Gen Core i5,8,256,0,Windows,INTEL UHD,14.0,1920 x 1080,4,8,60,77499
HP Pavilion 15-EC2145AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 3050,15.6,1920 x 1080,6,12,63,64990
HP Pavilion 15-ec2150AX Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,68,59910
